IDCOMPANY;COD_CDC;DESC_CDC;INIZIO_CDC;FINE_CDC;COD_DETT;DESC_DETT;INIZIO_DETT;FINE_DETT;FLATTR;DTSTARTVL;DTENDVL
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CALGAI-IND;CalGaia-indirette;01-10-2017;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CALMAR-DIR;CalMarco-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CALMAR-DIR;CalMarco-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CALMAR-IND;CalMarco-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CALMAR-IND;CalMarco-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CALVLA-DIR;CalVlad-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CALVLA-DIR;CalVlad-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CALVLA-IND;CalVlad.indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CALVLA-IND;CalVlad.indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAMALE-DIR;CamAlessandra-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAMALE-DIR;CamAlessandra-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAMALE-IND;CamAlessandra-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAMALE-IND;CamAlessandra-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CAMMAR-DIR;CamMarika-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CAMMAR-IND;CamMarika-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAMSTE-DIR;CamStefano-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAMSTE-DIR;CamStefano-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAMSTE-IND;CamStefano-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAMSTE-IND;CamStefano-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAPGIO-DIR;CapGiorgia-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAPGIO-DIR;CapGiorgia-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAPGIO-IND;CapGiorgia-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAPGIO-IND;CapGiorgia-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAPMAT-DIR;CapMatilde;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAPMAT-DIR;CapMatilde;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAPMAT-IND;CapMatilde-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAPMAT-IND;CapMatilde-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAPSTE-DIR;CapStefano-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAPSTE-DIR;CapStefano-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAPSTE-IND;CapStefano-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAPSTE-IND;CapStefano-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CAPTHO-DIR;CapThomas-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CAPTHO-IND;CapThomas-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CARAUR-DIR;CarAurora-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CARAUR-IND;CarAurora-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CAREDG-DIR;CarEdgard-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CAREDG-IND;C;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CARGIA-DIR;CarGiada-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CARGIA-IND;CarGiada-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CARLUC;CarLuca-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CARLUC-DIR;CarLuca-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CASCHR-DIR;CasChristian-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CASCHR-DIR;CasChristian-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CASCHR-IND;CasChristian-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CASCHR-IND;CasChristian-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CASSOF-DIR;CasSofia-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CASSOF-IND;CasSofia-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CASTHO-DIR;CasThomas-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CASTHO-DIR;CasThomas-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CASTHO-IND;CasThomas-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CASTHO-IND;CasThomas-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CASTOM-DIR;CasTommaso-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CASTOM-IND;CasTommaso-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAVMAR-DIR;CavMartin-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAVMAR-DIR;CavMartin-dirette;01-01-1800;31-12-2999;;;
